degree_prefix,new_course_id,old_course_id,weight,source_level,source_key,predecessor_pass_rate,predecessor_avg_mark,predecessor_support
26.111,1164.111,503.111,1.0,2,503.111,0.8913666048624689,68.83124822185275,1031
26.111,1165.111,439.111,1.0,2,439.111,0.9193210671129642,69.0682152439849,825
26.111,1166.111,505.111,1.0,2,505.111,0.9360656858857994,70.17956813845845,624
26.111,1167.111,509.111,1.0,2,509.111,0.939347820603856,75.0449935159402,461
26.111,1172.111,431.111,1.0,2,431.111,0.7654316581377397,61.959795731743064,1929
26.111,1173.111,432.111,1.0,2,432.111,0.7654000520790859,64.84313460377227,1933
26.111,1174.111,501.111,1.0,2,501.111,0.7755576692800283,62.873389575734315,1910
26.111,1175.111,502.111,1.0,2,502.111,0.7848615943720563,64.76336909402023,1524
26.111,1177.111,433.111,1.0,2,433.111,0.8430889764947931,65.42518680548427,1141
26.111,1178.111,434.111,1.0,2,434.111,0.8995948458407167,70.59932336240624,1396
26.111,1179.111,457.111,1.0,2,457.111,0.8555662348441223,67.03571173080428,362
26.111,1180.111,427.111,1.0,2,427.111,0.6835217326184068,57.90035032386972,385
26.111,1182.111,504.111,1.0,2,504.111,0.9424131365457559,77.44662459289982,886
26.111,1184.111,516.111,1.0,2,516.111,0.8337782506412047,62.356174983002916,1088
26.111,1187.111,521.111,1.0,2,521.111,0.7849429457464309,61.742826801525325,483
26.111,1189.111,522.111,1.0,2,522.111,0.9194520554299529,71.14858559919261,516
26.111,1190.111,426.111,1.0,2,426.111,0.8455971208668421,67.790518849895,292
26.111,1195.111,437.111,1.0,2,437.111,0.9101885100156042,69.05170430024961,650
26.111,1196.111,466.111,1.0,2,466.111,0.9187082776592514,69.35500331191416,548
26.111,1198.111,538.111,0.555256064690027,2,538.111,0.9107358482763485,75.99841540339486,206
26.111,1198.111,471.111,0.444743935309973,2,471.111,0.9720340632997554,80.80346962793101,165
26.111,1199.111,539.111,0.5138888888888888,2,539.111,0.957299414943183,78.60501119742403,148
26.111,1199.111,472.111,0.4861111111111111,2,472.111,0.9739143856903422,80.24151175729523,140
26.111,1201.111,1036.111,1.0,2,1036.111,0.6903989198951072,58.237822869969655,71
26.111,1205.111,451.111,1.0,2,451.111,0.9328091131227889,71.63171274243167,57
26.111,1235.111,523.111,1.0,2,523.111,0.9109920404438193,69.1434863751246,319
26.111,1246.111,533.111,1.0,2,533.111,0.9046349864627767,69.34420527229315,223
26.111,1249.111,545.111,1.0,2,545.111,0.9472664626480951,71.89446374946604,135
27.111,1164.111,503.111,1.0,2,503.111,0.8913666048624689,68.83124822185275,1031
27.111,1165.111,439.111,1.0,2,439.111,0.9193210671129642,69.0682152439849,825
27.111,1166.111,505.111,1.0,2,505.111,0.9360656858857994,70.17956813845845,624
27.111,1167.111,509.111,1.0,2,509.111,0.939347820603856,75.0449935159402,461
27.111,1172.111,431.111,1.0,2,431.111,0.7654316581377397,61.959795731743064,1929
27.111,1173.111,432.111,1.0,2,432.111,0.7654000520790859,64.84313460377227,1933
27.111,1174.111,501.111,1.0,2,501.111,0.7755576692800283,62.873389575734315,1910
27.111,1175.111,502.111,1.0,2,502.111,0.7848615943720563,64.76336909402023,1524
27.111,1177.111,433.111,1.0,2,433.111,0.8430889764947931,65.42518680548427,1141
27.111,1178.111,434.111,1.0,2,434.111,0.8995948458407167,70.59932336240624,1396
27.111,1179.111,457.111,1.0,2,457.111,0.8555662348441223,67.03571173080428,362
27.111,1180.111,427.111,1.0,2,427.111,0.6835217326184068,57.90035032386972,385
27.111,1182.111,504.111,1.0,2,504.111,0.9424131365457559,77.44662459289982,886
27.111,1184.111,516.111,1.0,2,516.111,0.8337782506412047,62.356174983002916,1088
