feature,gain,split
start_agpa_points,421647.10320711136,599
course_pass_rate_historical,152853.06735610962,1715
fail_credit_ratio_capped,126819.8444018364,541
prev_gpa_points_clean,73031.22879123688,516
course_avg_mark_historical,60470.82129096985,1585
course_history_count,53829.520552158356,1943
course_retake_rate_historical,44205.27000617981,1743
last_valid_gpa_before_current_semester,34497.70753765106,535
course_share_of_requirement,25613.43229007721,961
diploma_gpa,24973.330171108246,647
degree_requirement_credits_count,20522.656536579132,689
part_semester,16607.24223423004,429
concurrent_peer_difficulty_max,16196.361813545227,703
total_fail_credits_capped,15995.659540176392,327
gpa_trend_delta,14904.673312187195,616
concurrent_peer_difficulty_mean,11338.397374629974,557
start_total_in_credits,11191.20060634613,500
semester_reg_credits,9690.872752666473,440
attempt_number,7897.385859012604,239
start_total_in_courses,7776.0335483551025,337
course_credits,7670.323957443237,327
requirement_type_id,5426.19670009613,204
reg_total_semesters,5172.319729804993,253
semester_reg_courses,4140.016972541809,184
diploma_type_bucket,3447.828080177307,115
prior_interruption_count,3312.5736079216003,77
consecutive_interruption_count,2918.542453765869,67
prev_gpa_points_zero,1784.2726364135742,54
start_level_ord,1603.0684080123901,70
prev_semester_was_interruption,1541.5072841644287,16
prev_gpa_invalid_zero_case,1139.9613008499146,36
start_semester,914.9271717071533,48
requirement_size_bucket_ord,691.1454086303711,27
course_difficulty_missing,306.70520210266113,15
prev_gpa_points_missing,199.0630989074707,7
is_first_row_in_timeline,80.33650016784668,2
gpa_trend_missing,60.948299407958984,3
requirement_type_missing,45.47899913787842,3
is_extreme_fail_history,42.68179988861084,3
no_previous_progress,33.22096061706543,2
is_high_credit_course,12.530599594116211,1
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
