feature,gain,split
start_agpa_points,305901.9167327881,714
course_pass_rate_historical,108099.69353485107,1728
fail_credit_ratio_capped,99391.48416090012,644
prev_gpa_points_clean,88015.75683116913,598
course_avg_mark_historical,62896.562333106995,1701
course_history_count,55695.2576341629,2215
course_retake_rate_historical,41339.24810409546,1862
last_valid_gpa_before_current_semester,27188.937225341797,547
course_share_of_requirement,22584.21004343033,942
diploma_gpa,22309.44009256363,887
degree_requirement_credits_count,18747.627266407013,778
part_semester,17612.645204544067,491
concurrent_peer_difficulty_max,15851.871285915375,878
concurrent_peer_difficulty_mean,15546.543280124664,862
gpa_trend_delta,13445.773519039154,716
total_fail_credits_capped,13332.476130008698,391
start_total_in_credits,10926.569818973541,598
semester_reg_credits,9498.644026756287,504
course_credits,7593.6143918037415,367
start_total_in_courses,7380.686685562134,417
attempt_number,6933.863875865936,257
requirement_type_id,5628.676080703735,249
reg_total_semesters,5288.321332454681,298
semester_reg_courses,4061.2181844711304,239
consecutive_interruption_count,3564.00856256485,86
diploma_type_bucket,2858.2557826042175,128
prior_interruption_count,2586.34130191803,96
prev_gpa_points_zero,2023.462529182434,65
start_level_ord,1602.894898891449,81
start_semester,1218.5849256515503,65
requirement_size_bucket_ord,1052.1799755096436,26
prev_gpa_invalid_zero_case,919.1540842056274,47
prev_semester_was_interruption,790.0619144439697,10
course_difficulty_missing,315.26703548431396,21
is_first_row_in_timeline,221.4685001373291,5
is_extreme_fail_history,114.91856956481934,8
gpa_trend_missing,92.65170192718506,4
prev_gpa_points_missing,53.17669868469238,3
requirement_type_missing,24.722599983215332,2
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
