feature,gain,split
start_agpa_points,338235.5997042656,644
course_pass_rate_historical,127944.54091453552,1645
fail_credit_ratio_capped,98648.35471963882,559
prev_gpa_points_clean,51853.05793571472,454
course_history_count,44297.71699953079,1650
course_avg_mark_historical,44272.5494389534,1434
course_retake_rate_historical,38929.975952625275,1633
last_valid_gpa_before_current_semester,28590.34440755844,478
course_share_of_requirement,22150.53236722946,871
diploma_gpa,20047.985290050507,646
degree_requirement_credits_count,19368.65420293808,699
concurrent_peer_difficulty_max,15825.625137329102,734
part_semester,15583.667090415955,423
total_fail_credits_capped,14873.457242488861,362
gpa_trend_delta,11856.805428028107,582
concurrent_peer_difficulty_mean,9807.08067369461,512
start_total_in_credits,8567.525033950806,437
semester_reg_credits,8455.701701164246,410
course_credits,6774.728773117065,284
attempt_number,6705.651278495789,224
start_total_in_courses,6507.255241394043,321
reg_total_semesters,4330.5127329826355,247
requirement_type_id,4246.79679107666,152
semester_reg_courses,3424.3935647010803,184
consecutive_interruption_count,3322.212956428528,82
diploma_type_bucket,2853.6833362579346,105
prior_interruption_count,2364.1148777008057,72
prev_gpa_invalid_zero_case,1395.1168727874756,46
start_level_ord,1199.9556589126587,66
prev_gpa_points_zero,1114.5896010398865,45
start_semester,947.5034351348877,54
requirement_size_bucket_ord,483.6905689239502,27
course_difficulty_missing,451.2093048095703,18
prev_semester_was_interruption,418.2176933288574,8
requirement_type_missing,182.23820209503174,8
prev_gpa_points_missing,70.47080039978027,3
is_extreme_fail_history,67.78159999847412,5
is_first_row_in_timeline,44.21735954284668,2
gpa_trend_missing,38.07589912414551,2
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
