feature,gain,split
start_agpa_points,354955.3945541382,1849
course_pass_rate_historical,165254.05106258392,3650
fail_credit_ratio_capped,146243.93383955956,1482
prev_gpa_points_clean,129808.8102684021,1560
course_avg_mark_historical,91258.57850050926,3835
course_history_count,89985.139149189,4778
course_retake_rate_historical,67031.57124519348,3808
last_valid_gpa_before_current_semester,59704.44139480591,1095
diploma_gpa,40444.381652116776,2326
course_share_of_requirement,35693.61560726166,1932
degree_requirement_credits_count,28254.301690101624,1341
gpa_trend_delta,27282.867125034332,1990
start_total_in_credits,23818.907511472702,1788
total_fail_credits_capped,21093.740926265717,1082
part_semester,20627.326977729797,757
semester_reg_credits,16100.937118768692,1227
start_total_in_courses,15530.154510259628,1107
course_credits,12537.382414579391,687
attempt_number,10017.929054021835,444
reg_total_semesters,9753.43318605423,804
semester_reg_courses,8052.955219507217,611
requirement_type_id,6842.154609203339,371
consecutive_interruption_count,4846.716769695282,125
diploma_type_bucket,4026.8260729312897,190
prior_interruption_count,3457.922655582428,217
start_level_ord,2952.107727766037,202
start_semester,1951.4426760673523,170
prev_gpa_points_zero,1729.7499780654907,79
prev_gpa_invalid_zero_case,1546.7407026290894,73
requirement_size_bucket_ord,1015.2045826911926,42
prev_semester_was_interruption,538.6857438087463,15
course_difficulty_missing,437.8268461227417,24
is_extreme_fail_history,154.41220045089722,12
requirement_type_missing,96.09249877929688,6
prev_gpa_points_missing,59.583930015563965,4
gpa_trend_missing,53.67159938812256,3
is_first_row_in_timeline,48.222140312194824,3
no_previous_progress,29.163000106811523,1
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
