university_id,new_degree_id,new_degree_name,new_degree_course_count,candidate_rank,old_degree_id,old_degree_name,old_degree_course_count,shared_course_key_count,overlap_pct_of_new,overlap_pct_of_old,jaccard,degree_name_similarity,same_family_after_strip,courses_added,courses_removed,approval_status,notes
111,40.111,العلوم الإدارية (اختصاص عام) 2023,40,2,11.111,المحاسبة و التدقيق,63,19,0.475,0.30158730158730157,0.2261904761904762,0.2777777777777778,False,21,44,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,40.111,العلوم الإدارية (اختصاص عام) 2023,40,3,22.111,إدارة (اختصاص عام),41,18,0.45,0.43902439024390244,0.2857142857142857,0.8421052631578947,False,22,23,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,41.111,دكتور في الطب 2023,85,1,2.111,دكتور في الطب,84,74,0.8809523809523809,0.891566265060241,0.7956989247311828,1.0,True,10,9,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,41.111,دكتور في الطب 2023,85,2,15.111,دكتور في الطب البشري,88,21,0.25,0.25609756097560976,0.14482758620689656,0.8148148148148148,False,63,61,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,41.111,دكتور في الطب 2023,85,3,49.111,هندسة الاتصالات 2023,76,18,0.21428571428571427,0.23684210526315788,0.1267605633802817,0.16666666666666666,False,66,58,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,42.111,إجازة دكتور في طب الأسنان 2023,91,1,1.111,دكتور في طب الأسنان,89,81,0.8901098901098901,0.9101123595505618,0.8181818181818182,0.85,False,10,8,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,42.111,إجازة دكتور في طب الأسنان 2023,91,2,49.111,هندسة الاتصالات 2023,76,17,0.18681318681318682,0.2236842105263158,0.11333333333333333,0.2777777777777778,False,74,59,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,42.111,إجازة دكتور في طب الأسنان 2023,91,3,16.111,دكتور في طب الأسنان,81,14,0.15384615384615385,0.1728395061728395,0.08860759493670886,0.85,False,77,67,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,44.111,الصيدلة و الكيمياء الصيدلية 2023,80,1,13.111,الصيدلة و الكيمياء الصيدلية,78,70,0.875,0.8974358974358975,0.7954545454545454,1.0,True,10,8,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,44.111,الصيدلة و الكيمياء الصيدلية 2023,80,2,49.111,هندسة الاتصالات 2023,76,18,0.225,0.23684210526315788,0.13043478260869565,0.35294117647058826,False,62,58,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
