university_id,course_id,degree_id,degree_course_key,snapshot_type,as_of_part_id,support_count,pass_rate,avg_mark,retake_rate,source_level,link_used,link_weight
111,1.111,10.111,10.111__1.111,PRE_SEMESTER,20211,83,0.8795180722891566,71.53012048192771,0.13253012048192772,1,,
111,1.111,10.111,10.111__1.111,PRE_SEMESTER,20212,122,0.8770491803278688,70.49180327868852,0.09836065573770492,1,,
111,1.111,10.111,10.111__1.111,PRE_SEMESTER,20213,140,0.8857142857142857,71.37857142857143,0.14285714285714285,1,,
111,1.111,10.111,10.111__1.111,TRAIN_END_STATE,TRAIN_END_STATE,142,0.8802816901408451,71.16901408450704,0.14788732394366197,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20051,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20052,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20053,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20061,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20062,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20063,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20071,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20072,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20073,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20081,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20082,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20083,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20091,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20092,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20093,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20101,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20102,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20103,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20111,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20112,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20113,0,,,,1,,
