feature,gain,split
start_agpa_points,615104.6841840744,1178
course_avg_mark_historical,314738.40869140625,3946
prev_gpa_points_clean,203875.979970932,887
course_pass_rate_historical,155912.96181058884,3653
course_history_count,147760.37789297104,4537
fail_credit_ratio_capped,136989.04742717743,670
course_retake_rate_historical,122822.38154029846,3723
last_valid_gpa_before_current_semester,79616.76418924332,773
course_share_of_requirement,76267.5745511055,1763
degree_requirement_credits_count,46454.91457033157,1201
diploma_gpa,45814.553589344025,1263
part_semester,38343.10369968414,802
concurrent_peer_difficulty_max,28815.80420446396,1387
gpa_trend_delta,28039.864557266235,1018
start_total_in_credits,27136.63979244232,1115
course_credits,26988.151404857635,776
requirement_type_id,24466.594729423523,662
semester_reg_credits,23730.260496616364,824
concurrent_peer_difficulty_mean,23621.624220848083,1156
total_fail_credits_capped,21883.13161802292,501
start_total_in_courses,18477.485875606537,782
reg_total_semesters,8654.817919254303,431
attempt_number,7763.330296993256,253
start_level_ord,6538.9087018966675,221
semester_reg_courses,5951.528402805328,299
consecutive_interruption_count,3895.198001384735,82
requirement_size_bucket_ord,3609.054334640503,47
diploma_type_bucket,3602.6143040657043,139
start_semester,3085.531056880951,101
prior_interruption_count,1819.8543853759766,82
course_difficulty_missing,1476.7551050186157,45
prev_semester_was_interruption,418.97020149230957,6
prev_gpa_points_zero,378.15715980529785,21
requirement_type_missing,364.57559967041016,8
is_first_row_in_timeline,347.8317928314209,5
prev_gpa_invalid_zero_case,318.15279960632324,17
prev_gpa_points_missing,222.77049827575684,7
is_extreme_fail_history,180.99321842193604,11
gpa_trend_missing,161.44249725341797,6
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
no_previous_progress,0.0,0
concurrent_peer_difficulty_missing,0.0,0
degree_requirement_credits_count_missing,0.0,0
