feature,gain,split
start_agpa_points,607165.9581050873,1318
course_avg_mark_historical,331938.06843423843,4101
prev_gpa_points_clean,216534.0875210762,953
fail_credit_ratio_capped,144050.56142234802,837
course_history_count,143948.76565742493,4591
course_pass_rate_historical,143002.43227481842,3828
course_retake_rate_historical,126247.61108064651,4107
last_valid_gpa_before_current_semester,76695.63138198853,903
course_share_of_requirement,71287.06401109695,1802
degree_requirement_credits_count,51220.85741877556,1242
diploma_gpa,48544.450575351715,1479
part_semester,39508.638520240784,833
gpa_trend_delta,30819.72882604599,1135
concurrent_peer_difficulty_max,30490.645674705505,1506
start_total_in_credits,27962.994657754898,1255
course_credits,27835.565440654755,818
concurrent_peer_difficulty_mean,25114.166133880615,1311
requirement_type_id,24077.802459716797,720
semester_reg_credits,23881.401847839355,914
start_total_in_courses,20847.366141319275,864
total_fail_credits_capped,19697.201860904694,609
reg_total_semesters,11449.484330177307,566
attempt_number,7333.5449023246765,248
semester_reg_courses,6606.201624393463,340
start_level_ord,6467.586111068726,227
diploma_type_bucket,4284.044948101044,173
consecutive_interruption_count,4067.392295360565,86
start_semester,3700.4136333465576,120
requirement_size_bucket_ord,2899.2706065177917,51
prior_interruption_count,2225.6470127105713,112
course_difficulty_missing,974.763632774353,35
prev_gpa_points_zero,423.4451994895935,27
prev_gpa_invalid_zero_case,371.8987965583801,19
is_first_row_in_timeline,330.11180686950684,7
requirement_type_missing,240.69899940490723,6
is_extreme_fail_history,188.73038959503174,13
prev_gpa_points_missing,173.3001003265381,5
prev_semester_was_interruption,166.38490200042725,4
gpa_trend_missing,93.41590118408203,3
no_previous_progress,28.734899520874023,2
is_high_credit_course,0.0,0
is_first_active_semester,0.0,0
concurrent_peer_difficulty_missing,0.0,0
degree_requirement_credits_count_missing,0.0,0
