feature,gain,split
prev_gpa_points_clean,243751.86894321442,464
start_agpa_points,211295.19272613525,580
course_pass_rate_historical,147225.6424818039,1270
fail_credit_ratio_capped,134418.40619277954,485
course_avg_mark_historical,56239.07573890686,1284
course_history_count,54408.138414382935,1878
last_valid_gpa_before_current_semester,50387.32248401642,391
course_retake_rate_historical,41262.44418716431,1459
diploma_gpa,26068.33163833618,590
course_share_of_requirement,23861.582644462585,856
total_fail_credits_capped,23088.675605773926,310
degree_requirement_credits_count,19124.873101234436,653
part_semester,17561.44647884369,395
gpa_trend_delta,15834.943979263306,509
start_total_in_credits,10018.151659965515,437
semester_reg_credits,9073.847965240479,369
course_credits,8569.850378990173,327
start_total_in_courses,8313.494820594788,347
attempt_number,7245.900073051453,226
requirement_type_id,4650.922892570496,169
consecutive_interruption_count,4394.9401931762695,78
semester_reg_courses,4280.737934112549,187
reg_total_semesters,3744.999242782593,180
diploma_type_bucket,3187.234354019165,95
prior_interruption_count,2897.9117851257324,67
start_level_ord,1977.355809211731,79
prev_gpa_points_zero,1476.4896926879883,40
prev_gpa_invalid_zero_case,1432.5209016799927,40
requirement_size_bucket_ord,811.2243957519531,27
start_semester,703.2026720046997,31
prev_semester_was_interruption,601.9806060791016,8
course_difficulty_missing,289.2622003555298,13
prev_gpa_points_missing,95.06850147247314,4
is_extreme_fail_history,93.96089935302734,6
requirement_type_missing,58.483299255371094,3
is_first_row_in_timeline,53.113800048828125,2
gpa_trend_missing,19.07740020751953,1
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
