feature,gain,split
start_agpa_points,628860.6075344086,466
course_avg_mark_historical,416791.48820877075,1655
prev_gpa_points_clean,367650.22656059265,374
fail_credit_ratio_capped,230891.5307750702,212
last_valid_gpa_before_current_semester,151760.47467422485,312
course_history_count,89825.02326393127,1500
course_retake_rate_historical,81212.61498832703,1302
course_pass_rate_historical,63528.74386024475,1108
course_share_of_requirement,62724.04435157776,882
diploma_gpa,50685.2274017334,356
degree_requirement_credits_count,38520.193254470825,570
gpa_trend_delta,34759.66095161438,346
part_semester,30000.566844940186,361
requirement_type_id,28166.91015434265,390
course_credits,23249.868364334106,370
semester_reg_credits,13949.365087509155,255
total_fail_credits_capped,13486.857667922974,106
start_total_in_credits,12926.543998718262,249
start_total_in_courses,12758.634107589722,242
reg_total_semesters,6105.145191192627,106
start_level_ord,5449.202783584595,95
attempt_number,5132.687688827515,87
consecutive_interruption_count,3968.7035160064697,42
diploma_type_bucket,3106.3127994537354,51
requirement_size_bucket_ord,2420.502300262451,30
semester_reg_courses,2100.9157886505127,48
start_semester,1944.3528900146484,32
prev_semester_was_interruption,774.52809715271,7
course_difficulty_missing,737.8683013916016,19
prior_interruption_count,510.303409576416,9
prev_gpa_points_missing,252.1604995727539,2
requirement_type_missing,129.74459838867188,3
is_high_credit_course,96.32669830322266,2
is_first_row_in_timeline,87.12100219726562,2
prev_gpa_points_zero,40.20750045776367,1
gpa_trend_missing,0.0,0
no_previous_progress,0.0,0
prev_gpa_invalid_zero_case,0.0,0
is_first_active_semester,0.0,0
is_extreme_fail_history,0.0,0
degree_requirement_credits_count_missing,0.0,0
