feature,gain,split
start_agpa_points,621550.3992853165,2822
course_avg_mark_historical,359600.8446819782,6268
prev_gpa_points_clean,233118.91923093796,2118
course_history_count,177129.62146306038,7293
course_pass_rate_historical,167200.19083356857,6336
course_retake_rate_historical,157854.64023566246,6561
fail_credit_ratio_capped,146696.8933889866,1820
course_share_of_requirement,85205.81704473495,2803
last_valid_gpa_before_current_semester,83965.23600435257,1742
diploma_gpa,63670.473383426666,3239
degree_requirement_credits_count,57503.09670829773,1804
concurrent_peer_difficulty_max,47860.97213983536,3230
part_semester,43855.27962708473,1255
gpa_trend_delta,43814.32148480415,2701
concurrent_peer_difficulty_mean,41885.58813095093,2976
start_total_in_credits,40765.294843912125,2532
total_fail_credits_capped,31720.354510307312,1419
semester_reg_credits,31685.00486946106,1760
requirement_type_id,30017.929253578186,1081
course_credits,29839.201059818268,1099
start_total_in_courses,28927.010854005814,1675
reg_total_semesters,17732.69787478447,1208
semester_reg_courses,11080.153083086014,779
attempt_number,8888.203070878983,374
start_level_ord,7215.757581949234,345
diploma_type_bucket,5088.253253698349,266
start_semester,4416.653396368027,223
consecutive_interruption_count,4139.45770740509,124
prior_interruption_count,3981.9904367923737,225
requirement_size_bucket_ord,3736.1113476753235,70
course_difficulty_missing,1482.7402114868164,73
prev_gpa_points_zero,589.1289625167847,49
prev_semester_was_interruption,562.7222585678101,15
prev_gpa_invalid_zero_case,551.482586145401,42
is_first_row_in_timeline,352.30688762664795,15
prev_gpa_points_missing,326.6771492958069,12
gpa_trend_missing,325.15540885925293,18
is_extreme_fail_history,317.97529888153076,22
requirement_type_missing,280.16969108581543,7
is_high_credit_course,33.820899963378906,1
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
concurrent_peer_difficulty_missing,0.0,0
degree_requirement_credits_count_missing,0.0,0
