feature,gain,split
prev_gpa_points_clean,262156.9907705784,1111
start_agpa_points,225940.6201622486,1429
course_pass_rate_historical,172024.6497092247,3231
fail_credit_ratio_capped,158527.9656612873,1187
course_history_count,80814.77371144295,3885
course_avg_mark_historical,78462.74275636673,3159
course_retake_rate_historical,60837.04715037346,3040
diploma_gpa,34938.34425878525,1794
course_share_of_requirement,33856.204946517944,1576
last_valid_gpa_before_current_semester,27726.36309480667,961
gpa_trend_delta,24517.51715540886,1534
degree_requirement_credits_count,23371.09927368164,1108
total_fail_credits_capped,22926.95265340805,899
part_semester,20563.433581113815,675
start_total_in_credits,18560.069661855698,1277
semester_reg_credits,15052.07158446312,1049
start_total_in_courses,14410.743166446686,909
course_credits,10986.671609163284,587
attempt_number,9048.791197538376,408
reg_total_semesters,8166.042095184326,622
semester_reg_courses,7011.102833032608,460
requirement_type_id,6690.562694549561,321
consecutive_interruption_count,4156.079820632935,108
diploma_type_bucket,3971.5801990032196,166
prior_interruption_count,3809.823475599289,195
start_level_ord,2646.4348855018616,154
prev_gpa_points_zero,1875.1013050079346,71
start_semester,1831.3087229728699,118
prev_gpa_invalid_zero_case,1725.9841046333313,71
requirement_size_bucket_ord,1668.9453146457672,63
prev_semester_was_interruption,792.3339042663574,19
course_difficulty_missing,549.2326908111572,31
is_first_row_in_timeline,449.3500032424927,8
prev_gpa_points_missing,225.8520965576172,12
is_extreme_fail_history,129.3658390045166,11
requirement_type_missing,70.26551103591919,4
is_first_active_semester,39.922298431396484,1
gpa_trend_missing,35.55030059814453,2
no_previous_progress,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
