feature,gain,split
start_agpa_points,611992.0579404831,1519
course_avg_mark_historical,348806.5791349411,4794
prev_gpa_points_clean,217985.20174884796,1021
course_history_count,164501.73276615143,5328
course_pass_rate_historical,156813.64142656326,4635
fail_credit_ratio_capped,143442.71402716637,926
course_retake_rate_historical,123580.66413545609,4079
course_share_of_requirement,79035.1560716629,2034
last_valid_gpa_before_current_semester,74158.94409275055,1036
diploma_gpa,47864.757528305054,1603
degree_requirement_credits_count,46340.869505405426,1332
part_semester,40388.34973573685,919
gpa_trend_delta,33266.92525100708,1353
requirement_type_id,29545.783796787262,800
start_total_in_credits,29540.703288555145,1411
course_credits,28280.691477298737,856
semester_reg_credits,26063.71581697464,1087
start_total_in_courses,23440.707184314728,1020
total_fail_credits_capped,21723.14562034607,668
reg_total_semesters,12042.277800559998,600
semester_reg_courses,8579.941260814667,461
start_level_ord,8493.191667318344,304
attempt_number,7611.0445256233215,261
requirement_size_bucket_ord,4940.180503845215,82
diploma_type_bucket,4337.702081203461,182
start_semester,4180.547692775726,129
consecutive_interruption_count,4154.75825548172,92
prior_interruption_count,2283.1441597938538,107
course_difficulty_missing,1025.9590640068054,46
prev_semester_was_interruption,817.1015467643738,11
prev_gpa_invalid_zero_case,477.70350980758667,31
prev_gpa_points_zero,434.9194755554199,31
prev_gpa_points_missing,344.5995316505432,11
is_first_row_in_timeline,326.8231010437012,10
gpa_trend_missing,249.0784034729004,8
is_extreme_fail_history,220.66594076156616,15
requirement_type_missing,188.6659049987793,6
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
