feature,gain,split
start_agpa_points,887238.9812393188,499
course_avg_mark_historical,397578.2191772461,1467
prev_gpa_points_clean,197941.33140182495,306
fail_credit_ratio_capped,173163.84943389893,166
last_valid_gpa_before_current_semester,112589.13496017456,331
course_history_count,79764.49243736267,1371
course_retake_rate_historical,75983.75140190125,1164
course_pass_rate_historical,54845.184381484985,665
course_share_of_requirement,53256.46544075012,774
diploma_gpa,47247.49207115173,326
degree_requirement_credits_count,38363.25417137146,511
gpa_trend_delta,29785.127773284912,289
total_fail_credits_capped,27988.001621246338,98
part_semester,27755.995248794556,328
requirement_type_id,22569.25668144226,320
course_credits,21297.894723892212,318
semester_reg_credits,13640.510869979858,235
start_total_in_credits,12637.684600830078,233
start_total_in_courses,10853.044303894043,212
reg_total_semesters,5259.088014602661,78
attempt_number,5182.670188903809,81
start_level_ord,4068.628017425537,74
consecutive_interruption_count,3426.755807876587,38
diploma_type_bucket,2868.5958919525146,55
requirement_size_bucket_ord,2151.845205307007,23
semester_reg_courses,2104.0818843841553,47
start_semester,1920.285385131836,29
prior_interruption_count,1478.5158042907715,15
prev_gpa_points_missing,967.8769950866699,7
course_difficulty_missing,492.8743019104004,9
prev_semester_was_interruption,233.63329696655273,4
is_high_credit_course,109.25340270996094,2
gpa_trend_missing,88.89579772949219,1
prev_gpa_points_zero,66.94029998779297,2
is_first_row_in_timeline,41.00699996948242,1
prev_gpa_invalid_zero_case,31.326799392700195,1
is_extreme_fail_history,0.0,0
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
degree_requirement_credits_count_missing,0.0,0
requirement_type_missing,0.0,0
