feature,gain,split
start_agpa_points,662865.3898162842,757
course_avg_mark_historical,451773.969288826,3032
prev_gpa_points_clean,370633.11194229126,575
fail_credit_ratio_capped,202425.16947841644,330
course_pass_rate_historical,152574.91416740417,2738
course_history_count,145765.8667049408,3320
course_retake_rate_historical,143942.07575321198,3101
last_valid_gpa_before_current_semester,132313.3276052475,494
course_share_of_requirement,87171.90785598755,1563
diploma_gpa,57740.9559879303,635
degree_requirement_credits_count,48142.161982536316,921
part_semester,37651.821336746216,606
gpa_trend_delta,36385.92304992676,593
requirement_type_id,36193.71670818329,659
course_credits,35233.8166513443,686
total_fail_credits_capped,26511.021200180054,198
start_total_in_credits,21712.287216186523,591
semester_reg_credits,21325.90411758423,521
start_total_in_courses,17465.423069000244,469
reg_total_semesters,8527.235525131226,239
attempt_number,8350.571390151978,182
start_level_ord,7855.149115562439,179
semester_reg_courses,4753.19989490509,152
diploma_type_bucket,4490.2691822052,116
consecutive_interruption_count,3940.14138507843,62
requirement_size_bucket_ord,3647.8954696655273,46
start_semester,2529.5538940429688,63
prev_gpa_points_missing,1054.8304233551025,11
course_difficulty_missing,911.2876014709473,27
prior_interruption_count,884.1136417388916,35
is_first_row_in_timeline,503.9276885986328,7
prev_semester_was_interruption,292.71709537506104,5
is_high_credit_course,236.17929458618164,4
prev_gpa_points_zero,148.73920154571533,8
requirement_type_missing,102.90989875793457,2
is_extreme_fail_history,71.70459938049316,3
degree_requirement_credits_count_missing,60.08110046386719,1
gpa_trend_missing,18.03689956665039,1
prev_gpa_invalid_zero_case,0.0,0
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
