feature,gain,split
start_agpa_points,941634.5270957947,555
course_avg_mark_historical,400298.4691295624,1948
fail_credit_ratio_capped,174502.0803756714,185
prev_gpa_points_clean,152198.75588798523,386
last_valid_gpa_before_current_semester,125000.93901634216,384
course_pass_rate_historical,109109.09715557098,1536
course_retake_rate_historical,105792.85056877136,1836
course_history_count,99666.0958738327,1889
course_share_of_requirement,74319.34612083435,1121
diploma_gpa,49143.306661605835,410
degree_requirement_credits_count,41107.74554634094,602
requirement_type_id,29766.112464904785,459
part_semester,29150.521068572998,374
course_credits,26710.930181503296,463
gpa_trend_delta,25952.443166732788,339
start_total_in_credits,17507.1478099823,378
total_fail_credits_capped,16774.661041259766,128
semester_reg_credits,16750.93835067749,298
start_total_in_courses,13144.629489898682,267
reg_total_semesters,7937.294494628906,128
attempt_number,6277.383304595947,113
start_level_ord,5916.391412734985,110
consecutive_interruption_count,3847.9655208587646,46
semester_reg_courses,3804.278190612793,90
diploma_type_bucket,3465.0487842559814,61
requirement_size_bucket_ord,2645.067081451416,26
start_semester,1911.7211055755615,36
course_difficulty_missing,1222.8757057189941,27
prior_interruption_count,1113.0499935150146,15
prev_semester_was_interruption,501.5862007141113,4
prev_gpa_points_missing,317.68750953674316,5
is_first_row_in_timeline,226.49080085754395,5
is_high_credit_course,175.66950225830078,3
gpa_trend_missing,168.5806999206543,4
requirement_type_missing,142.71370315551758,3
is_extreme_fail_history,59.49729919433594,2
prev_gpa_points_zero,53.8651008605957,2
prev_gpa_invalid_zero_case,0.0,0
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
degree_requirement_credits_count_missing,0.0,0
