feature,gain,split
start_agpa_points,438413.70505809784,537
course_pass_rate_historical,154155.38613080978,1589
fail_credit_ratio_capped,116828.20793533325,489
prev_gpa_points_clean,62030.940423965454,534
course_avg_mark_historical,54460.95901298523,1341
course_history_count,52867.756207466125,1865
course_retake_rate_historical,44455.100615501404,1653
last_valid_gpa_before_current_semester,35315.93764972687,419
course_share_of_requirement,27131.164337158203,964
diploma_gpa,24086.06809616089,558
degree_requirement_credits_count,19052.541590213776,655
part_semester,16615.76295375824,436
total_fail_credits_capped,16224.69333410263,336
gpa_trend_delta,13211.829819202423,515
start_total_in_credits,10866.81655883789,480
semester_reg_credits,8434.209963798523,378
course_credits,8350.262491226196,335
start_total_in_courses,8074.297076702118,361
attempt_number,7784.363430023193,246
reg_total_semesters,5618.4531354904175,217
requirement_type_id,5263.658957481384,201
semester_reg_courses,4741.511121273041,211
consecutive_interruption_count,4179.754692077637,81
diploma_type_bucket,3457.6017370224,113
prior_interruption_count,3371.310788154602,73
start_level_ord,1436.3294286727905,71
prev_gpa_points_zero,1376.8380165100098,37
start_semester,1349.1194353103638,66
prev_gpa_invalid_zero_case,1198.2123594284058,40
requirement_size_bucket_ord,931.4845962524414,34
course_difficulty_missing,377.7009038925171,14
prev_semester_was_interruption,214.74430084228516,3
is_extreme_fail_history,119.84619808197021,6
prev_gpa_points_missing,75.41440010070801,2
gpa_trend_missing,42.985700607299805,2
no_previous_progress,42.775699615478516,1
is_first_row_in_timeline,40.270400047302246,3
requirement_type_missing,36.543500900268555,2
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
