university_id,new_course_id,new_course_name,new_course_name_key,new_course_name_stem,new_course_credits,new_course_requirement_type_id,new_course_degree_ids,new_course_family_count,new_course_scope,new_course_valid_rows,old_course_id,old_course_name,old_course_name_key,old_course_credits,credit_change,credit_changed,requirement_type_changed,old_course_degree_ids,old_course_train_support,old_course_train_pass_rate,old_course_train_avg_mark,predecessor_rank,predecessor_count_for_new_course,relationship_type,weight_hint,match_method,scope_confidence,lineage_scope_used,lineage_rank_matched,effective_from_part_id,approval_status,notes,review_decision,reviewer_name,review_date,review_notes
111,1336.111,إدارة عمليات التأمين,اداره عمليات تامين,اداره عمليات تامين,3.0,5,37.111|52.111,1,specific,3,54.111,ادارة عمليات التامين,اداره عمليات تامين,3.0,0.0,false,false,10.111,62,0.7096774193548387,62.16129032258065,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20232,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1339.111,إنكليزي الأعمال,انكليزي اعمال,انكليزي اعمال,3.0,6,34.111|35.111|53.111|56.111,2,specific,3,74.111,إنكليزي الأعمال,انكليزي اعمال,3.0,0.0,false,true,7.111|8.111|9.111|10.111|11.111|12.111|22.111,178,0.9719101123595506,83.23033707865169,1,1,successor,1.0,name_key_union_lineage,in_lineage,7.111|8.111|10.111|11.111,1,20233,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1340.111,أخلاقيات الاعمال,اخلاقيات اعمال,اخلاقيات اعمال,3.0,5,34.111|53.111,1,specific,9,,,,,,unknown,unknown,,,,,,0,none,,none,,8.111|10.111|11.111,,20221,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1343.111,أسواق العمل,اسواق عمل,اسواق عمل,3.0,5,34.111|53.111,1,specific,10,,,,,,unknown,unknown,,,,,,0,none,,none,,8.111|10.111|11.111,,20232,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1346.111,بحوث العمليات,بحوث عمليات,بحوث عمليات,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,190,518.111,بحوث العمليات,بحوث عمليات,3.0,0.0,false,false,3.111|4.111|5.111|6.111|21.111,621,0.8647342995169082,70.16908212560386,1,4,consolidated_into,0.6166832174776564,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20223,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1346.111,بحوث العمليات,بحوث عمليات,بحوث عمليات,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,190,122.111,بحوث العمليات,بحوث عمليات,3.0,0.0,false,true,7.111|8.111|9.111|10.111|11.111|12.111|22.111,257,0.867704280155642,69.06225680933852,2,4,consolidated_into,0.25521350546176763,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20223,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1346.111,بحوث العمليات,بحوث عمليات,بحوث عمليات,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,190,205.111,بحوث العمليات,بحوث عمليات,4.0,-1.0,true,true,19.111,80,0.7625,65.7375,3,4,consolidated_into,0.07944389275074479,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20223,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1346.111,بحوث العمليات,بحوث عمليات,بحوث عمليات,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,190,406.111,بحوث عمليات,بحوث عمليات,3.0,0.0,false,true,18.111,49,0.6326530612244898,49.48979591836735,4,4,consolidated_into,0.04865938430983118,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20223,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1357.111,تقييم المشروعات ودراسات الجدوى الاقتصادية,تقييم مشروعات ودراسات جدوي اقتصاديه,تقييم مشروعات ودراسات جدوي اقتصاديه,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,115,,,,,,unknown,unknown,,,,,,0,none,,none,,ALL_TRAIN_PRESENT_COURSES,,20231,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1363.111,حل المشكلات واتخاذ القرار,حل مشكلات واتخاذ قرار,حل مشكلات واتخاذ قرار,3.0,5,33.111|34.111|53.111|54.111,2,specific,5,,,,,,unknown,unknown,,,,,,0,none,,none,,8.111|10.111|11.111,,20231,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
