feature,gain,split
start_agpa_points,336262.8918361664,665
course_pass_rate_historical,121217.08732271194,1666
fail_credit_ratio_capped,82640.71616697311,540
prev_gpa_points_clean,60188.95159244537,533
course_avg_mark_historical,51354.8406291008,1589
course_history_count,49898.8229970932,1930
course_retake_rate_historical,42436.26989650726,1882
last_valid_gpa_before_current_semester,32783.58759880066,506
course_share_of_requirement,22709.95604991913,936
diploma_gpa,22603.778216362,843
degree_requirement_credits_count,18939.826546669006,721
part_semester,17164.421573638916,467
total_fail_credits_capped,16459.64708328247,389
concurrent_peer_difficulty_max,15370.886476516724,778
gpa_trend_delta,13377.896708965302,707
concurrent_peer_difficulty_mean,12808.223442554474,692
start_total_in_credits,9640.462299346924,536
semester_reg_credits,9256.734517097473,485
start_total_in_courses,7921.091597557068,414
attempt_number,6816.105251312256,233
course_credits,6694.762879371643,307
reg_total_semesters,4956.7857837677,253
requirement_type_id,4420.464861392975,172
consecutive_interruption_count,3933.3364777565002,77
semester_reg_courses,3531.8366532325745,194
diploma_type_bucket,2838.7622995376587,117
prior_interruption_count,2771.5057849884033,83
prev_gpa_points_zero,1808.2007694244385,56
start_level_ord,1502.7019758224487,78
start_semester,1178.209102153778,61
prev_gpa_invalid_zero_case,930.708517074585,45
prev_semester_was_interruption,693.5320615768433,9
requirement_size_bucket_ord,466.7471971511841,22
course_difficulty_missing,257.5506982803345,13
is_extreme_fail_history,112.18213748931885,6
prev_gpa_points_missing,106.81379985809326,5
requirement_type_missing,89.84929943084717,5
gpa_trend_missing,54.01839828491211,1
is_first_row_in_timeline,42.6068000793457,2
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
no_previous_progress,0.0,0
concurrent_peer_difficulty_missing,0.0,0
degree_requirement_credits_count_missing,0.0,0
