feature,gain,split
start_agpa_points,831511.10222435,478
course_avg_mark_historical,401735.22921943665,1652
prev_gpa_points_clean,269019.6639556885,361
fail_credit_ratio_capped,191943.6895828247,210
last_valid_gpa_before_current_semester,97736.00159835815,362
course_history_count,94431.40872383118,1557
course_retake_rate_historical,91462.76473808289,1445
course_pass_rate_historical,83877.65691184998,1222
course_share_of_requirement,61656.575355529785,823
diploma_gpa,42457.737840652466,334
degree_requirement_credits_count,39828.03896522522,607
requirement_type_id,29760.48000907898,438
part_semester,28415.41522026062,354
gpa_trend_delta,26559.434049606323,336
course_credits,25935.196201324463,418
total_fail_credits_capped,18369.533180236816,127
semester_reg_credits,16589.782167434692,296
start_total_in_credits,15367.965202331543,309
concurrent_peer_difficulty_mean,14546.907556533813,287
concurrent_peer_difficulty_max,13665.70625114441,280
start_total_in_courses,11254.549390792847,225
reg_total_semesters,6636.607498168945,101
attempt_number,6028.555612564087,96
start_level_ord,5483.442722320557,102
requirement_size_bucket_ord,4514.673500061035,42
consecutive_interruption_count,4060.6348152160645,46
diploma_type_bucket,3747.422317504883,67
semester_reg_courses,2627.803611755371,65
start_semester,2147.5943031311035,38
prior_interruption_count,816.7705974578857,17
prev_gpa_points_missing,599.2720146179199,5
course_difficulty_missing,561.7731056213379,12
is_first_row_in_timeline,270.6067008972168,4
is_extreme_fail_history,99.85800170898438,3
requirement_type_missing,99.40779876708984,2
gpa_trend_missing,87.79429626464844,1
prev_semester_was_interruption,83.71030044555664,2
is_first_active_semester,58.22760009765625,1
prev_gpa_invalid_zero_case,55.085601806640625,1
prev_gpa_points_zero,0.0,0
no_previous_progress,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
