feature,gain,split
start_agpa_points,623448.348218441,1091
course_avg_mark_historical,323796.1751437187,3804
prev_gpa_points_clean,188900.5693244934,666
course_history_count,144389.76229143143,4174
course_pass_rate_historical,141656.47785186768,3325
fail_credit_ratio_capped,140013.55596017838,580
course_retake_rate_historical,117861.00598478317,3514
last_valid_gpa_before_current_semester,84550.90224027634,732
course_share_of_requirement,77983.9208688736,1747
degree_requirement_credits_count,44603.32011270523,1050
diploma_gpa,40460.02231884003,1007
part_semester,36819.82782793045,721
gpa_trend_delta,26730.637841701508,869
concurrent_peer_difficulty_max,26018.489954948425,1155
requirement_type_id,24401.103518009186,669
course_credits,23718.424780845642,688
start_total_in_credits,23036.60849237442,928
concurrent_peer_difficulty_mean,21586.572580337524,951
semester_reg_credits,21457.304879188538,740
start_total_in_courses,18249.97156715393,694
total_fail_credits_capped,15728.636513233185,386
reg_total_semesters,9422.252979755402,379
attempt_number,7014.015865325928,216
start_level_ord,6743.0701150894165,219
semester_reg_courses,5720.63027715683,258
requirement_size_bucket_ord,4294.445763587952,64
diploma_type_bucket,4099.163537502289,157
consecutive_interruption_count,3673.362277030945,76
start_semester,3441.949354171753,90
prior_interruption_count,1589.929027557373,66
prev_semester_was_interruption,849.5990772247314,12
course_difficulty_missing,701.406964302063,26
prev_gpa_points_zero,459.3661069869995,19
prev_gpa_points_missing,392.8017988204956,8
prev_gpa_invalid_zero_case,205.96970081329346,14
is_extreme_fail_history,190.19186115264893,10
requirement_type_missing,182.06226062774658,6
gpa_trend_missing,177.22689819335938,3
is_first_row_in_timeline,167.9242000579834,7
is_high_credit_course,41.0453987121582,1
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
degree_requirement_credits_count_missing,0.0,0
