university_id,new_degree_id,new_degree_name,new_degree_course_count,candidate_rank,old_degree_id,old_degree_name,old_degree_course_count,old_degree_old_course_count,shared_course_key_count,overlap_pct_of_new,overlap_pct_of_old,jaccard,degree_name_similarity,same_family_after_strip,courses_added,courses_removed,approval_status,notes
111,26.111,الهندسة المعلوماتية/هندسة البرمجيات ونظم المعلومات,74,1,3.111,هندسة البرمجيات ونظم المعلومات,75,70,39,0.527027027027027,0.52,0.35454545454545455,0.6341463414634146,False,35,36,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,26.111,الهندسة المعلوماتية/هندسة البرمجيات ونظم المعلومات,74,2,4.111,هندسة الذكاء الصنعي,75,67,37,0.5,0.49333333333333335,0.33035714285714285,0.5333333333333333,False,37,38,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,26.111,الهندسة المعلوماتية/هندسة البرمجيات ونظم المعلومات,74,3,5.111,هندسة الحاسوب و التحكم,77,66,37,0.5,0.4805194805194805,0.32456140350877194,0.42424242424242425,False,37,40,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,27.111,الهندسة المعلوماتية/هندسة الذكاء الصنعي وعلوم البيانات,74,1,4.111,هندسة الذكاء الصنعي,75,67,41,0.5540540540540541,0.5466666666666666,0.37962962962962965,0.5333333333333333,False,33,34,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,27.111,الهندسة المعلوماتية/هندسة الذكاء الصنعي وعلوم البيانات,74,2,3.111,هندسة البرمجيات ونظم المعلومات,75,70,40,0.5405405405405406,0.5333333333333333,0.3669724770642202,0.6341463414634146,False,34,35,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,27.111,الهندسة المعلوماتية/هندسة الذكاء الصنعي وعلوم البيانات,74,3,5.111,هندسة الحاسوب و التحكم,77,66,37,0.5,0.4805194805194805,0.32456140350877194,0.42424242424242425,False,37,40,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,29.111,الهندسة المعلوماتية/هندسة أمن النظم والشبكات الحاسوبية,74,1,6.111,هندسة الاتصالات و الشبكات,77,68,40,0.5405405405405406,0.5194805194805194,0.36036036036036034,0.4444444444444444,False,34,37,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,29.111,الهندسة المعلوماتية/هندسة أمن النظم والشبكات الحاسوبية,74,2,5.111,هندسة الحاسوب و التحكم,77,66,39,0.527027027027027,0.5064935064935064,0.3482142857142857,0.42424242424242425,False,35,38,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,29.111,الهندسة المعلوماتية/هندسة أمن النظم والشبكات الحاسوبية,74,3,3.111,هندسة البرمجيات ونظم المعلومات,75,70,38,0.5135135135135135,0.5066666666666667,0.34234234234234234,0.6341463414634146,False,36,37,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
111,30.111,هندسة التحكم والروبوت,74,1,5.111,هندسة الحاسوب و التحكم,77,66,44,0.5945945945945946,0.5714285714285714,0.411214953271028,0.5405405405405406,False,30,33,pending,Ranked only over ancestry-eligible TRAIN-present degrees; eligibility requires at least 5 TRAIN-present catalog courses.
