feature,gain,split
start_agpa_points,674322.3826389313,911
course_avg_mark_historical,441493.3016490936,3614
prev_gpa_points_clean,384210.7555246353,647
fail_credit_ratio_capped,232770.7380542755,464
course_history_count,157012.68366146088,3881
course_retake_rate_historical,153897.51959609985,3526
course_pass_rate_historical,151124.86957502365,3115
last_valid_gpa_before_current_semester,113052.38832616806,652
course_share_of_requirement,91057.73315811157,1713
diploma_gpa,59707.882006168365,883
degree_requirement_credits_count,52994.5936088562,1086
part_semester,40150.21767139435,722
gpa_trend_delta,39853.241153240204,732
course_credits,36652.74274349213,826
requirement_type_id,34221.516582489014,697
concurrent_peer_difficulty_max,27124.171904087067,911
start_total_in_credits,26223.360686302185,817
semester_reg_credits,23827.84367609024,651
concurrent_peer_difficulty_mean,23362.09715652466,753
start_total_in_courses,21278.714651107788,639
total_fail_credits_capped,17904.727640151978,322
reg_total_semesters,10001.44945192337,324
start_level_ord,7947.799193382263,201
attempt_number,7366.90274477005,198
semester_reg_courses,5451.125584602356,217
diploma_type_bucket,4800.914295196533,138
requirement_size_bucket_ord,4442.025758743286,53
consecutive_interruption_count,4204.693645477295,71
start_semester,2230.920531272888,61
prior_interruption_count,1464.9973182678223,49
course_difficulty_missing,1050.4942016601562,32
prev_semester_was_interruption,777.311689376831,11
is_first_row_in_timeline,508.7495527267456,12
prev_gpa_points_missing,497.07799911499023,7
prev_gpa_points_zero,375.7061824798584,19
gpa_trend_missing,267.949501991272,7
prev_gpa_invalid_zero_case,166.07559871673584,7
is_extreme_fail_history,157.9507007598877,7
is_high_credit_course,63.23019981384277,2
no_previous_progress,31.583599090576172,1
requirement_type_missing,23.539499282836914,1
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
