feature,gain,split
start_agpa_points,238171.78044199944,1254
prev_gpa_points_clean,220057.8905031681,970
course_pass_rate_historical,169130.33600902557,2733
fail_credit_ratio_capped,154710.01070141792,973
course_history_count,71827.33710336685,3379
course_avg_mark_historical,66213.19046092033,2565
course_retake_rate_historical,59555.691376924515,2885
last_valid_gpa_before_current_semester,58783.727382183075,923
diploma_gpa,34060.545102119446,1513
course_share_of_requirement,32593.36941242218,1439
concurrent_peer_difficulty_max,23231.319248199463,1475
gpa_trend_delta,22714.460455417633,1324
total_fail_credits_capped,22296.341205120087,698
degree_requirement_credits_count,22185.878467559814,1006
concurrent_peer_difficulty_mean,19952.225979804993,1399
part_semester,18928.765094041824,596
start_total_in_credits,16022.540990114212,1029
semester_reg_credits,13119.706622600555,810
start_total_in_courses,12944.078702449799,732
course_credits,9511.531699419022,481
attempt_number,9067.707924842834,368
reg_total_semesters,7944.197118759155,560
requirement_type_id,6723.007566452026,303
semester_reg_courses,5774.093089580536,375
consecutive_interruption_count,4414.576056480408,104
diploma_type_bucket,3924.4376583099365,170
prior_interruption_count,3497.999433517456,146
start_level_ord,2819.5160670280457,160
start_semester,1791.913745880127,113
prev_gpa_points_zero,1752.19136095047,73
prev_gpa_invalid_zero_case,1714.8557379245758,69
requirement_size_bucket_ord,1375.8380193710327,49
prev_semester_was_interruption,536.4831519126892,16
course_difficulty_missing,489.09406995773315,28
prev_gpa_points_missing,350.9551010131836,13
is_first_row_in_timeline,85.3976993560791,4
is_extreme_fail_history,52.48711109161377,4
requirement_type_missing,32.24146890640259,3
gpa_trend_missing,22.18157958984375,2
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
