feature,gain,split
start_agpa_points,839883.5570106506,527
course_avg_mark_historical,361769.5582141876,1417
prev_gpa_points_clean,257384.96579742432,329
fail_credit_ratio_capped,193015.3800754547,166
last_valid_gpa_before_current_semester,100422.17864227295,309
course_pass_rate_historical,92704.07889556885,962
course_history_count,76879.56371116638,1318
course_retake_rate_historical,72395.15210533142,1097
course_share_of_requirement,67717.39942932129,899
diploma_gpa,44738.244524002075,312
degree_requirement_credits_count,32225.218376159668,441
part_semester,26601.45682144165,314
gpa_trend_delta,26255.31872177124,329
requirement_type_id,22792.370418548584,338
total_fail_credits_capped,18635.212200164795,121
course_credits,17928.595163345337,273
semester_reg_credits,14959.53957748413,258
concurrent_peer_difficulty_mean,12983.366798400879,231
concurrent_peer_difficulty_max,12599.225902557373,257
start_total_in_courses,11637.42558479309,224
start_total_in_credits,11442.996007919312,232
attempt_number,5246.812864303589,85
reg_total_semesters,4718.734483718872,74
start_level_ord,3484.9211139678955,70
consecutive_interruption_count,3368.102798461914,35
requirement_size_bucket_ord,3105.8739051818848,35
diploma_type_bucket,2824.052095413208,48
start_semester,2143.6370944976807,39
semester_reg_courses,1943.1418018341064,46
prior_interruption_count,1085.433692932129,15
prev_gpa_points_missing,941.4674873352051,6
prev_semester_was_interruption,726.2798004150391,7
is_first_row_in_timeline,510.6037063598633,6
course_difficulty_missing,320.29749488830566,7
is_high_credit_course,177.11570358276367,4
prev_gpa_points_zero,101.94000244140625,1
requirement_type_missing,91.54159927368164,2
gpa_trend_missing,85.76490020751953,2
is_extreme_fail_history,0.0,0
prev_gpa_invalid_zero_case,0.0,0
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
degree_requirement_credits_count_missing,0.0,0
