feature,gain,split
start_agpa_points,623236.4980430603,1624
course_avg_mark_historical,346323.9525575638,4736
course_history_count,162021.3570008278,5556
prev_gpa_points_clean,157180.06483840942,1199
course_pass_rate_historical,143438.30309295654,4558
last_valid_gpa_before_current_semester,141002.59122228622,1064
fail_credit_ratio_capped,132546.8413386345,1083
course_retake_rate_historical,131925.60276412964,4495
course_share_of_requirement,79277.25292253494,2018
degree_requirement_credits_count,52175.96924495697,1404
diploma_gpa,50815.27501535416,1797
part_semester,40487.29098749161,946
gpa_trend_delta,35867.03426647186,1537
concurrent_peer_difficulty_max,35559.84498167038,1965
start_total_in_credits,30582.389108657837,1479
course_credits,28447.416468143463,895
concurrent_peer_difficulty_mean,28130.401743888855,1551
start_total_in_courses,25670.803703784943,1161
semester_reg_credits,25670.56473827362,1085
requirement_type_id,25362.62397956848,793
total_fail_credits_capped,24984.946304798126,765
reg_total_semesters,12363.68692111969,712
semester_reg_courses,8805.826023578644,469
attempt_number,8228.898792982101,303
start_level_ord,6384.012180805206,241
diploma_type_bucket,4617.797684669495,203
consecutive_interruption_count,4158.659079551697,102
start_semester,3409.5867166519165,142
requirement_size_bucket_ord,3319.4081201553345,60
prior_interruption_count,2192.5967888832092,117
course_difficulty_missing,1103.9119973182678,49
prev_semester_was_interruption,918.2300553321838,12
prev_gpa_points_zero,459.68534755706787,30
is_first_row_in_timeline,370.5039253234863,9
prev_gpa_invalid_zero_case,349.6798982620239,27
requirement_type_missing,287.1445007324219,6
gpa_trend_missing,277.4720149040222,10
is_extreme_fail_history,223.03425979614258,15
prev_gpa_points_missing,167.58413791656494,7
concurrent_peer_difficulty_missing,13.954299926757812,1
is_high_credit_course,0.0,0
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
