feature,gain,split
start_agpa_points,655845.1159133911,523
prev_gpa_points_clean,382306.25179862976,332
course_avg_mark_historical,379645.0781555176,1482
fail_credit_ratio_capped,208113.00302696228,180
last_valid_gpa_before_current_semester,132209.4141292572,356
course_pass_rate_historical,94053.25222969055,1145
course_retake_rate_historical,84296.08715629578,1346
course_history_count,79776.67610549927,1374
course_share_of_requirement,65850.15527534485,886
diploma_gpa,49246.62155723572,337
degree_requirement_credits_count,37683.370767593384,496
gpa_trend_delta,30880.042600631714,334
part_semester,29784.912181854248,360
requirement_type_id,24908.573190689087,384
course_credits,22768.28249359131,377
total_fail_credits_capped,18281.76259994507,103
start_total_in_credits,14637.095394134521,288
semester_reg_credits,14504.799116134644,259
start_total_in_courses,11084.955732345581,213
reg_total_semesters,6475.148614883423,109
attempt_number,5896.721696853638,95
start_level_ord,4743.0604820251465,82
consecutive_interruption_count,4147.18147277832,42
diploma_type_bucket,3353.7799186706543,58
semester_reg_courses,2917.223783493042,63
requirement_size_bucket_ord,2554.3812351226807,28
start_semester,1917.1202983856201,30
prev_gpa_points_missing,1242.230812072754,7
course_difficulty_missing,1006.0415954589844,21
prior_interruption_count,816.7620849609375,16
prev_semester_was_interruption,288.1250991821289,2
is_first_row_in_timeline,262.7420997619629,4
is_high_credit_course,251.70060348510742,4
gpa_trend_missing,116.87250137329102,3
is_extreme_fail_history,48.76129913330078,1
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
prev_gpa_invalid_zero_case,0.0,0
prev_gpa_points_zero,0.0,0
degree_requirement_credits_count_missing,0.0,0
requirement_type_missing,0.0,0
