feature,gain,split
start_agpa_points,631310.5798110962,520
course_avg_mark_historical,413564.41501045227,1498
prev_gpa_points_clean,402133.3150882721,368
fail_credit_ratio_capped,205196.24176979065,170
last_valid_gpa_before_current_semester,103842.30032539368,308
course_pass_rate_historical,88631.76489257812,1132
course_retake_rate_historical,87310.85080909729,1354
course_history_count,84457.15844345093,1431
course_share_of_requirement,57980.960945129395,812
diploma_gpa,49532.98748207092,346
degree_requirement_credits_count,41425.25754547119,593
total_fail_credits_capped,31652.247594833374,100
gpa_trend_delta,31489.371187210083,362
part_semester,31473.24831199646,398
requirement_type_id,24550.864000320435,368
course_credits,23853.286588668823,372
semester_reg_credits,14224.096519470215,250
start_total_in_credits,12880.845249176025,251
start_total_in_courses,11752.48030090332,220
reg_total_semesters,5253.314014434814,87
attempt_number,5251.533609390259,85
start_level_ord,4665.2675132751465,87
consecutive_interruption_count,3278.5270977020264,42
diploma_type_bucket,2880.935775756836,49
semester_reg_courses,1949.9367942810059,45
start_semester,1530.4177131652832,30
requirement_size_bucket_ord,1248.37380027771,22
prev_gpa_points_missing,742.9474906921387,8
course_difficulty_missing,603.9836940765381,12
is_first_row_in_timeline,389.5179100036621,4
prior_interruption_count,337.0958023071289,6
prev_semester_was_interruption,167.8885040283203,3
no_previous_progress,148.82400512695312,1
requirement_type_missing,94.58689880371094,2
gpa_trend_missing,74.62800025939941,2
prev_gpa_points_zero,50.142398834228516,1
is_high_credit_course,28.713499069213867,1
prev_gpa_invalid_zero_case,0.0,0
is_first_active_semester,0.0,0
is_extreme_fail_history,0.0,0
degree_requirement_credits_count_missing,0.0,0
