feature,gain,split
start_agpa_points,346178.1822128296,499
course_pass_rate_historical,121641.14787769318,1362
fail_credit_ratio_capped,92433.49703121185,444
prev_gpa_points_clean,46917.284192085266,405
course_avg_mark_historical,44962.99488925934,1181
course_history_count,42075.78399467468,1476
course_retake_rate_historical,35816.613156318665,1328
last_valid_gpa_before_current_semester,21490.713891983032,367
course_share_of_requirement,20029.78915786743,744
degree_requirement_credits_count,19325.766297340393,681
diploma_gpa,19122.056463241577,533
total_fail_credits_capped,16943.819311141968,291
part_semester,16421.904296875,428
gpa_trend_delta,9788.434972763062,429
start_total_in_credits,8891.912479400635,436
semester_reg_credits,7546.588358879089,335
start_total_in_courses,6421.853622436523,300
course_credits,6360.82336139679,251
attempt_number,6257.3665227890015,210
requirement_type_id,4431.712405204773,154
reg_total_semesters,3930.4365463256836,165
consecutive_interruption_count,3465.4656620025635,77
semester_reg_courses,3099.6382970809937,144
diploma_type_bucket,2493.9802942276,86
prior_interruption_count,1867.9800930023193,54
prev_gpa_points_zero,1541.3435888290405,46
start_level_ord,1029.1567974090576,47
prev_gpa_invalid_zero_case,993.8859939575195,32
start_semester,944.7758569717407,44
course_difficulty_missing,491.0042028427124,18
requirement_size_bucket_ord,386.92849922180176,18
prev_semester_was_interruption,313.05779457092285,5
prev_gpa_points_missing,98.61630058288574,4
requirement_type_missing,93.15910053253174,4
gpa_trend_missing,19.077199935913086,1
is_extreme_fail_history,17.391300201416016,1
no_previous_progress,0.0,0
is_first_row_in_timeline,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
