feature,gain,split
start_agpa_points,668134.3732280731,1610
course_avg_mark_historical,354137.519361496,5107
course_history_count,162698.86775684357,5556
prev_gpa_points_clean,157597.05609989166,1276
course_retake_rate_historical,139599.06486082077,4849
course_pass_rate_historical,136290.48246526718,4323
fail_credit_ratio_capped,132518.9874405861,1047
last_valid_gpa_before_current_semester,91591.44131731987,1011
course_share_of_requirement,83303.00138998032,2209
diploma_gpa,51588.07091474533,1946
degree_requirement_credits_count,46993.63843917847,1354
part_semester,41138.63924598694,978
concurrent_peer_difficulty_max,36553.62002301216,1997
start_total_in_credits,32506.96712732315,1640
gpa_trend_delta,31748.027137041092,1455
concurrent_peer_difficulty_mean,29272.12671303749,1692
course_credits,27317.40960741043,853
requirement_type_id,26247.92029285431,823
semester_reg_credits,24493.48317551613,1143
start_total_in_courses,24427.628613233566,1206
total_fail_credits_capped,22769.895584583282,825
reg_total_semesters,11911.22126531601,678
attempt_number,7563.648649692535,290
start_level_ord,7284.3581738471985,273
semester_reg_courses,7023.445436000824,411
requirement_size_bucket_ord,4663.8841643333435,59
diploma_type_bucket,4218.272375583649,178
start_semester,3896.1956329345703,139
consecutive_interruption_count,3613.2678632736206,100
prior_interruption_count,2391.8639101982117,133
course_difficulty_missing,1343.0327639579773,55
prev_semester_was_interruption,923.7807159423828,18
is_first_row_in_timeline,914.3305811882019,15
prev_gpa_points_zero,569.9065809249878,45
prev_gpa_points_missing,473.23767948150635,12
gpa_trend_missing,342.5706481933594,12
prev_gpa_invalid_zero_case,332.84898948669434,24
requirement_type_missing,238.38690185546875,6
is_extreme_fail_history,190.738787651062,12
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
